command|status|accept/ignore|step_time|step_num|step_length|side_step_length|step_angle_rad|logtime|
||accept|0|0|0|0|0|0:0:1|
||accept|0|0|0|0|0|0:0:2|
||accept|0|0|0|0|0|0:0:3|
||accept|0|0|0|0|0|0:0:4|
||accept|0|0|0|0|0|0:0:5|
||accept|0|0|0|0|0|0:0:6|
||accept|0|0|0|0|0|0:0:7|
||accept|0|0|0|0|0|0:0:8|
||accept|0|0|0|0|0|0:0:9|
||accept|0|0|0|0|0|0:0:10|
||accept|0|0|0|0|0|0:0:11|
||accept|0|0|0|0|0|0:0:12|
||accept|0|0|0|0|0|0:0:13|
||accept|0|0|0|0|0|0:0:14|
||accept|0|0|0|0|0|0:0:15|
||accept|0|0|0|0|0|0:0:16|
